Abdominal aortic aneurysm,"Treatment for an abdominal aortic aneurysm (AAA) depends on several factors, including the aneurysm's size, your age and general health.

In general, if you have a large aneurysm (5.5cm or larger) you will be advised to have surgery, either to strengthen the swollen section of the aorta or to replace it with a piece of synthetic tubing.

This is because the risk of the aneurysm rupturing is usually greater than the risk of having it repaired. 

If you have a small (3.0-4.4cm) or medium (4.5-5.4cm) aneurysm, you will be offered regular scans to check its size.

You will also be given advice on how to slow its growth and reduce the risk of it rupturing – for example, stopping smoking – and perhaps medications to reduce your blood pressure and cholesterol level.",pulsating feeling in your stomach (abdomen),persistent back pain,persistent abdominal pain,,,,,,,,,,,,,,,,
Acne,"Treatment for acne depends on how severe it is. It can take several months of treatment before acne symptoms improve.                                                                                     If you just have a few blackheads, whiteheads and spots, you should be able to treat them successfully with over-the-counter gels or creams (topical treatments) that contain benzoyl peroxide.",pimples,tenderness,redness,,,,,,,,,,,,,,,,
Acute cholecystitis,"If you are diagnosed with acute cholecystitis, you will probably need to be admitted to hospital for treatment",swelling (inflammation) of the gallbladder,"The affected part of the abdomen is usually extremely tender, and breathing deeply can make the pain worse.",persistent abdominal pain,,,,,,,,,,,,,,,,
Acute lymphoblastic leukaemia,"Treatment for acute lymphoblastic leukaemia is carried out in stages:

induction – the aim of the initial stage of treatment is to kill the leukaemia cells in your bone marrow, restore the balance of cells in your blood and resolve any symptoms you may have
consolidation – this stage aims to kill any remaining leukaemia cells in your central nervous system
maintenance – the final stage involves taking regular doses of chemotherapy tablets to prevent the leukaemia returning",pale skin,feeling tired and breathless,having repeated infections over a short space of time,"unusual and frequent bleeding, such as bleeding gums or nose bleeds",high temperature (fever) of 38C (100.4F) or above,night sweats,bone and joint pain,swollen lymph nodes (glands),abdominal pain – caused by a swollen liver or spleen,unexplained weight loss ,a purple skin rash (purpura),,,,,,,,
Acute lymphoblastic leukaemia: Children,The aim of treatment for ALL is to destroy the leukaemia cells and enable the bone marrow to work normally again. Chemotherapy is the main treatment for ALL and is given according to a treatment plan (often called a protocol or regimen).,aches and pains in the limbs ,may have swollen lymph glands.," may develop bruises, and bleeding may take longer",become tired and lethargic because of anaemia,,,,,,,,,,,,,,,
Acute lymphoblastic leukaemia: Teenagers and young adults,"The main treatment for acute lymphoblastic leukaemia (ALL) is chemotherapy (chemo). This means having anti-cancer drugs to destroy the leukaemia cells. You’ll also have drugs called steroids, which help the chemo to work.",looking paler than usual and feeling tired,"bruises - you may bruise more easily and it could take longer for bleeding to stop,",infections,aches and pains in your bones,fever and sweats ,"swollen glands (lymph nodes) in your neck, under your arm or in your groin",headaches and visual disturbance,,,,,,,,,,,,
Acute myeloid leukaemia,"Acute myeloid leukaemia (AML) is an aggressive condition that develops rapidly, so treatment will usually begin a few days after a diagnosis has been confirmed.                                                                    As AML is a complex condition, it's usually treated by a multidisciplinary team (MDT) ",pale skin,a high temperature (fever),tiredness,excessive sweating,weight loss,frequent infections,easily bruised skin,"unusual and frequent bleeding, such as bleeding gums or nosebleeds",flat red or purple spots on the skin (petechiae),bone and joint pain,"a feeling of fullness or discomfort in your tummy (abdomen), caused by swelling of the liver or spleen",breathlessness,,,,,,,
Acute myeloid leukaemia: Children,"The aim of treatment for AML is to destroy the leukaemia cells and enable the bone marrow to work normally again. Chemotherapy is the main treatment for AML. Usually a combination of chemotherapy drugs is given, according to a treatment plan (often called a protocol or regimen).",become tired and lethargic because of anaemia," develop bruises, and bleeding may take longer",infections,aches and pains in the limbs or may have swollen lymph glands,,,,,,,,,,,,,,,
Acute myeloid leukaemia: Teenagers and young adults,"The main treatment for acute myeloid leukaemia (AML) is chemotherapy (chemo). This means having anti-cancer drugs to destroy the leukaemia cells. You’ll also have drugs called steroids, which help the chemo to work.","swollen glands (lymph nodes) in your neck, under your arm or in your groin",aches and pains in your bones,infections ,looking paler than usual and feeling tired ,headaches and blurred vision,breathlessness,fever and sweats -,,,,,,,,,,,,
Acute pancreatitis,"Acute pancreatitis is treated in hospital, where you'll be closely monitored for signs of serious problems and given supportive treatment, such as fluids and oxygen. In severe cases, complications can develop that require specific additional treatment and you'll need to be admitted to a high dependency unit or intensive care unit (ICU). In these cases, recovery may take much longer, and the condition can be fatal.",dull pain around the top of your stomach that develops suddenly.," Eating or drinking may also make you feel worse very quickly, especially fatty foods.",nausea (feeling sick) or vomiting,a high temperature (fever) of 38C (100.4F) or above,jaundice – yellowing of the skin and the whites of the eyes,tenderness or swelling of the abdomen (tummy),diarrhoea,indigestion,,,,,,,,,,,
Addison's disease,"If you have Addison’s disease, you'll need to take daily medication to replace the lost hormones. This should help you to live an active life, although many people find they still need to manage their fatigue.       In some cases, the underlying causes of Addison’s disease can be treated. For example, tuberculosis (TB) is treated with a course of antibiotics over a period of at least six months.",fatigue,lethargy (abnormal drowsiness or tiredness),muscle weakness ,low mood (mild depression) or irritability,loss of appetite and unintentional weight loss,urinate frequently,increased thirst,craving for salty foods,,,,,,,,,,,
Alcohol misuse,The treatment options for alcohol misuse depend on the extent of your drinking and whether you're trying to drink less (moderation) or give up drinking completely (abstinence),drinking  alcohol excessively ,,,,,,,,,,,,,,,,,,
Alcohol poisoning,confusion,severely slurred speech,loss of co-ordination,irregular or slow breathing,vomiting,irregular or slow breathing,hypothermia (pale or blue-tinged skin caused by low body temperature),stupor (being conscious but unresponsive),passing out and being unconscious,,,,,,,,,,,
Alcohol-related liver disease,"Successful treatment for alcohol-related liver disease (ARLD) often depends on whether someone is willing to stop drinking alcohol and make changes to their lifestyle.                            Treatment for ARLD involves stopping drinking alcohol. This is known as abstinence, which can be vital, depending on what stage the condition is at.",loss of appetite,abdominal (tummy) pain,fatigue,feeling sick,diarrhoea,yellowing of the skin and whites of the eyes (jaundice),"swelling in the legs, ankles and feet, due to a build-up of fluid (oedema)","swelling in your abdomen, due to a build-up of fluid known as ascites",a high temperature (fever) and shivering attacks,very itchy skin,hair loss,unusually curved fingertips and nails (clubbed fingers),blotchy red palms,weakness and muscle wasting,confusion and memory problems,"vomiting blood and black, tarry stools due to internal bleeding",,,
Allergic rhinitis,"Treatment for allergic rhinitis depends on how severe your symptoms are and how much they're affecting your everyday activities. In most cases treatment aims to relieve symptoms such as sneezing and a blocked or runny nose.If you have mild allergic rhinitis, you can often treat the symptoms yourself. ",sneezing,itchiness and a blocked or runny nose,sleep problems,cold,,,,,,,,,,,,,,,
Allergies,"The treatment for an allergy depends on what you're allergic to. In many cases, your GP will be able to offer advice and treatment.               They'll advise you about taking steps to avoid exposure to the substance you're allergic to, and can recommend medication to control your symptoms","itchy, red, watering eyes (conjunctivitis)",wheezing,chest tightness,"swollen lips, eyes ,tongue","dry, red and cracked skin",diarrhoea,,,,,,,,,,,,,
Alzheimer's disease,"There's currently no cure for Alzheimer's disease, although medication is available that can temporarily reduce some symptoms or slow down the progression of the condition in some people.",memory lapses,"increasing anxiety or agitation, or periods of confusion.", confusion ,disorientation,delusions (believing things that are untrue),disturbed sleep,depression ,hallucinations,,,,,,,,,,,
